name,line1,line2
HST,1 20580U 90037B   25184.66376620  .00004961  00000+0  18230-3 0  9996,2 20580  28.4685 293.2213 0001704 277.9163  82.1238 15.25467891735208
POLAR,1 23802U 96013A   25181.82239345  .00000164  00000+0  00000+0 0  9996,2 23802  79.4587 230.9064 6135568 220.9355  71.4533  1.29846827140275
SWAS,1 25560U 98071A   25184.90313627  .00002753  00000+0  19417-3 0  9995,2 25560  69.8972  43.4058 0003311  66.1154 294.0355 15.06230911444767
CXO,1 25867U 99040B   25187.94879861  .00000511  00000+0  00000+0 0  9990,2 25867  49.8968 128.8299 8389427 309.7726   0.2851  0.37803341 16011
XMM-NEWTON,1 25989U 99066A   25185.32618667  .00000018  00000+0  00000+0 0  9990,2 25989  66.1748 287.5845 4834589  70.9885   0.1204  0.50136440 21265
TERRA,1 25994U 99068A   25184.87790500  .00000295  00000+0  69602-4 0  9999,2 25994  97.9971 242.2731 0001129 217.5620 197.1256 14.60724033358759
CLUSTER II-FM7 (SAMBA),1 26410U 00041A   25187.17132825  .00002717  00000+0  00000+0 0  9995,2 26410 144.7368  12.8805 8418323 228.2171 359.4161  0.44820157 18755
CLUSTER II-FM5 (RUMBA),1 26463U 00045A   25181.80034448  .00005395  00000+0  00000+0 0  9998,2 26463 151.2878  79.5435 9085785 298.5162   0.8807  0.42920239 31012
CLUSTER II-FM8 (TANGO),1 26464U 00045B   25186.68252904  .00002732  00000+0  00000+0 0  9991,2 26464 144.9874  13.2431 8424386 228.4483 359.4760  0.44418699 18762
ODIN,1 26702U 01007A   25184.60628766  .00027565  00000+0  65997-3 0  9999,2 26702  97.4427 208.5265 0004701  33.4611 326.6931 15.41403187335285
TIMED,1 26998U 01055B   25184.49254763  .00000769  00000+0  75762-4 0  9997,2 26998  74.0671 216.4381 0000928 245.3441 114.7647 14.94012252278724
CORIOLIS,1 27640U 03001A   25184.94208388  .00000075  00000+0  55827-4 0  9997,2 27640  98.7121 192.1665 0014904 132.6785 227.5650 14.19797352164803
SORCE,1 27651U 03004A   25184.20291668  .00002841  00000+0  23156-3 0  9996,2 27651  39.9919  88.3761 0016107  57.0961 303.1380 15.00678534219402
MOST,1 27843U 03031D   25184.94611266  .00000049  00000+0  42703-4 0  9998,2 27843  98.7050 192.5218 0009984 171.3469 188.7882 14.21214456141248
SCISAT 1,1 27858U 03036A   25184.89889512  .00000531  00000+0  73615-4 0  9996,2 27858  73.9298 142.9947 0008930 283.3561  76.6620 14.80747253179885
SWIFT,1 28485U 04047A   25184.59866608  .00018034  00000+0  43298-3 0  9994,2 28485  20.5550 289.7501 0004780 238.0939 121.9037 15.39056021132620
HINODE (SOLAR-B),1 29479U 06041A   25184.95593388  .00000572  00000+0  10827-3 0  9996,2 29479  98.0709 201.0498 0016579 316.0303  43.9582 14.67951317  3776
SHIJIAN-6 02A (SJ-6 02A),1 29505U 06046A   25184.86892593  .00004413  00000+0  26343-3 0  9999,2 29505  97.6807 218.6870 0001841 245.9188 114.1850 15.11652591 19672
SHIJIAN-6 02B (SJ-6 02B),1 29506U 06046B   25184.87379814  .00000970  00000+0  82998-4 0  9990,2 29506  97.7015 212.1638 0006517 141.5882 218.5806 14.99903887 18506
